Time (s),X-Axis (m/s2),Y- Axis (m/s2),Z-Axis (m/s2)
0.366956094,0.004360956203244039,0.013452743271111577,-0.013030826730904721,
0.369309271,0.005404043993395093,0.0031010770035736768,-0.010424661384723422,
0.371661771,0.0024079561639162098,-0.001349694968624672,0.0012359239683927825,
0.374013906,0.007672202023532568,-0.008740872098099199,0.008650177162994765,
0.376366458,0.004222484078142311,-0.005077420137795614,0.003090185675707957,
0.37871901,-4.5257228920200093E-4,-2.3137655852064135E-4,5.556446343160104E-4,
0.381071927,0.005383779261037995,-0.004015660798532366,0.0023610196137031636,
0.383424583,0.0023917458681466525,6.180309128899567E-4,0.009549490739791722,
0.385776875,-0.009578276000165753,-0.001420854300487901,0.007639592591834443,
0.388129844,-0.005747344749564974,-0.01071307933944771,0.00611167407346791,
0.390482656,-0.0026825967688521163,-0.0066551836957002425,0.002974361231430578,
0.392834792,-0.004061356445881556,4.216886457232838E-4,-0.0033662080363399127,
0.395187031,0.0024967519356943538,0.00799846852989421,0.004967708619757261,
0.397539427,0.00774323864095508,6.529377315157708E-4,0.003974166895806874,
0.399892083,0.0023640328511643285,-0.0013929303357033684,-0.006397845438431915,
0.402244375,-0.005769889842267999,0.006546773344752888,6.281836101926785E-4,
0.404596406,0.006875762310984794,0.007152696216486058,-0.0033274091665340677,
0.406948906,0.011246446941187434,0.011467992575472326,-0.01223910628830538,
0.409301094,0.005166599491350218,0.005343838979010366,-0.005960566036502968,
0.411653333,0.002218000562280307,-0.005301323970791038,9.780071317351258E-4,
0.414006146,-0.007801994704175086,-0.006156339697548818,-0.003049076228204939,
0.416359062,-0.010072150844707563,-0.001094512206323204,0.0033071989783728384,
0.418712135,-0.004227165594398563,-0.004706169316774415,0.004560737210042021,
0.421064844,0.011940499770880075,-0.005680212994103279,-0.005927826247591028,
0.423417344,0.013382957878303792,-0.008374728456882356,-0.002827282970729428,
0.425770104,0.0030452501794435705,-0.002869224703906152,-3.468483492401475E-4,
0.428122292,-0.00330963694884474,0.0072810153908744076,0.009299700275686718,
0.430474167,-0.010308825682275258,0.007740089853383272,0.01318545724203446,
0.432826406,-0.0139928976382198,0.010022631434422467,0.012463343820972028,
0.435178906,-0.01502487319194333,0.0022722680551383774,0.011885653084121373,
0.43753151,-0.0062740644413873045,-0.00584330316920488,0.0056785664126088875,
0.439883385,0.006472422631689345,-0.00275936201444792,-0.005033562885538245,
0.442235052,0.003262659074551609,-0.002207489611558335,-0.005941828335775057,
0.444587656,0.00835596435204089,-0.007511828781646267,9.922343528643296E-4,
0.446939844,0.00860005051243258,-0.004094183994517147,7.937874822925295E-4,
0.449291719,-0.00461163377485313,5.552108659860125E-4,-0.007025645062993746,
0.451644375,-0.0094351441122821,0.008105283325872153,-0.01711267303281616,
0.453996979,0.003943558894973512,0.010314786212413572,-0.006029463377425159,
0.456349635,0.006985405177578542,-0.0013245661840684715,-9.92088768345667E-4,
0.458701823,0.007503603172862701,-0.006805490039654374,-0.006540130975613678,
0.46105375,0.0060028825382901635,0.002216724091475962,-0.005232104780491298,
0.463406354,-0.010519923235534558,0.009434495396380235,0.003475754163888567,
0.465758854,-0.006500662537860018,0.005632317286304322,0.0046955813584546036,
0.468111198,-0.007115806080855644,0.0064211328598433245,0.005672206053560558,
0.470463542,-0.0018620897833170197,0.005136906287874658,0.004537764842849512,
0.472815937,0.0023408862349461185,-0.005466870123699605,0.005545189901623004,
0.475169062,-0.0019578490736428394,-0.01011933319135928,6.054329271574233E-4,
0.477521719,0.0022642788026854613,-0.004264908491487692,-0.014837766695382726,
0.47987375,0.0018114230421483676,-0.00149664776239029,-0.01570093235044645,
0.482226406,-4.6613761684893146E-4,-0.0011973182099122327,-0.006815048858872075,
0.48457875,-0.008034029196910847,-0.004788414119645638,0.004125139867980465,
0.486930781,-0.012173057469696033,-0.0038307312957165107,0.014790742997901063,
0.489283385,-0.005907890894389332,-0.003064585036573208,0.0060876603162896,
0.491636146,0.004850085418720104,-0.012028061693141776,-8.755687684534053E-4,
0.493988958,0.003880068334976082,-0.00579189129291369,-0.006446914975700935,
0.496341562,0.0011887726569487639,0.0068581611504682435,-0.012818207029388518,
0.498693646,0.006696855217958604,0.007401807951174462,0.0012360654800041004,
0.501046302,0.007272764695282867,1.756092685399717E-4,0.010566031339081405,
0.503398594,-0.0018429058570892942,-0.003690070646767754,0.016113500120093605,
0.505750573,-0.003389603716471304,-0.0029520565174142033,0.0033151470199026534,
0.508102864,0.0030341541192225527,0.005299470909268099,-0.006925061339156713,
0.510454792,-0.003318513797021555,0.006154855758214346,0.00786708593844132,
0.512807239,-0.00457008708818487,-0.0027372330067441074,0.008208646778097517,
0.515159427,0.011666159595618793,-0.00410506394607903,0.004651939395134974,
0.51751151,0.009332927676495031,5.465069047365066E-4,0.0018065734887642293,
0.519864271,-0.002110050032571066,0.0042677635853889395,-0.0062154162578167416,
0.522216614,-0.0074338771184564514,0.009160047960710748,-0.003057354978910354,
0.524568802,-0.005947101694765158,0.0015822012761690027,-0.004360862010472033,
0.526921458,-0.0028424053052445025,-0.004480077561580517,-0.013065868563455041,
0.529273958,0.0034719128482039938,2.464975024514364E-4,-0.021944851833186618,
0.531626458,0.004692809309363055,-0.001718081028838716,-0.006063724484127064,
0.53397875,0.005669527968406432,-0.01095086072212836,0.006641177395120934,
0.536330937,0.006450899915408891,-0.006845408801844765,-0.002348496072183792,
0.538683698,-0.004415675221672216,-0.0016457689798760784,-0.007624493879230698,
0.541035989,-0.00353254017733777,-0.008977731307100327,-0.002268876109244644,
0.543387969,-9.10750130838113E-4,-0.007182185045680262,0.0020148551672924953,
0.545740312,0.005017235497612987,-0.0019151899749444787,0.0016118841338332857,
0.548092344,0.009759624000373869,0.015705359297243208,0.005120989240660734,
0.550444792,0.0058924201694992295,0.010649006916878583,2.653094589355476E-4,
0.552797292,8.833795641157716E-4,-0.0010571896204964633,-0.001702730460195312,
0.555149687,-0.003123855900423231,-8.457516963971713E-4,-0.0013621843681566048,
0.557502708,-0.004414360770906213,0.0031539581945981138,8.252305328184661E-4,
0.559854948,-0.005446770627757072,0.006353724617278223,0.010237363381333964,
0.562206875,-0.006272695533005523,0.005082979693822581,0.0043591717109272565,
0.564559375,-0.010763993518804013,0.0040663837550580645,0.005402315396086266,
0.566911771,-0.0047806337732112375,-0.0024927300883531463,0.006237593283666243,
0.569264427,0.009582443216797833,0.005666930562400828,-7.55622394551736E-4,
0.571616667,0.005750677032754517,0.002618266909236916,-0.002521001821891744,
0.573968646,0.002685261105287627,-0.003651223565010065,-0.009677476506341876,
0.576321354,-0.003597628208169501,-0.001005699821208187,-0.009656959232417606,
0.578673698,-0.004793381597335465,0.0011107191738333189,-0.00581058935859069,
0.581025469,-0.003834705277868375,0.002803854369866521,0.008758663522893784,
0.583377604,-0.006898322283894427,0.0022430834958932187,0.012752627839800468,
